Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-02-05 13:20:28,2778,3448,7332,3448,3459
2026-02-05 13:30:01,2783,3445,7292,3446,3459
2026-02-05 14:00:01,2756,3428,3648,3449,3458
2026-02-05 14:30:01,2770,3416,7308,3450,3458
2026-02-05 15:00:01,2781,3405,7293,3450,3459
2026-02-05 15:30:01,2785,3417,7291,3453,3461
2026-02-05 16:00:01,2782,3416,7292,3450,3462
2026-02-05 16:30:01,2790,3415,7293,3449,3459
2026-02-05 17:00:01,2777,3416,7290,3451,3460
2026-02-05 17:30:01,2772,3412,7291,3451,3458
2026-02-05 18:00:01,2767,3414,7288,3448,3460
2026-02-05 18:30:01,2769,3416,7289,3448,3461
2026-02-05 19:00:01,2765,3414,7289,3450,3461
2026-02-05 19:30:01,2774,3415,7290,3451,3462
2026-02-05 20:00:01,2774,3419,7291,3448,3460
2026-02-05 20:30:01,2764,3419,7290,3446,3460
2026-02-05 21:00:01,2766,3417,7291,3448,3458
2026-02-05 21:30:01,2776,3414,7291,3450,3458
2026-02-05 22:00:01,2777,3414,7290,3449,3458
2026-02-05 22:30:01,2762,3417,7289,3446,3460
2026-02-05 23:00:01,2764,3414,7289,3448,3459
2026-02-05 23:30:01,2782,3418,7291,3447,3459
2026-02-06 00:00:01,2777,3413,7292,3449,3458
2026-02-06 00:30:01,2777,3412,7289,3448,3460
2026-02-06 01:00:01,2759,3414,7290,3450,3460
2026-02-06 01:30:01,2767,3417,7291,3449,3460
2026-02-06 02:00:01,2774,3416,7288,3445,3462
2026-02-06 02:30:01,2762,3417,7292,3449,3458
2026-02-06 03:00:01,2772,3416,7290,3448,3458
2026-02-06 03:30:01,2722,3414,7291,3451,3460
2026-02-06 04:00:01,2731,3416,7290,3447,3461
2026-02-06 04:30:01,2749,3421,7290,3449,3460
2026-02-06 05:00:01,2742,3415,7289,3448,3457
2026-02-06 05:30:01,2728,3414,7289,3446,3459
2026-02-06 06:00:01,2743,3415,7292,3449,3461
2026-02-06 06:30:01,2737,3413,7291,3446,3459
2026-02-06 07:00:01,2746,3417,7289,3447,3456
2026-02-06 07:30:01,2735,3417,7288,3448,3458
2026-02-06 08:00:01,2740,3415,7283,3447,3456
2026-02-06 08:30:01,2759,3417,7294,3447,3459
2026-02-06 09:00:01,2770,3415,7295,3447,3458
2026-02-06 09:30:01,2762,3413,7296,3450,3459
2026-02-06 10:00:01,2757,3415,7294,3449,3458
2026-02-06 10:30:01,2763,3415,7297,3449,3458
2026-02-06 11:00:01,2775,3417,7295,3449,3461
2026-02-06 11:30:01,2774,3415,7297,3445,3456
2026-02-06 12:00:01,2763,3416,7295,3447,3457
2026-02-06 12:30:02,2767,3414,7295,3447,3457
2026-02-06 13:00:01,2760,3414,7295,3447,3460
2026-02-06 13:30:01,2770,3413,7295,3450,3458
2026-02-06 14:00:01,2771,3415,7296,3447,3458
2026-02-06 14:30:01,2788,3415,7296,3449,3459
2026-02-06 15:00:01,2779,3415,7296,3449,3459
2026-02-06 15:30:01,2774,3410,7296,3447,3459
2026-02-06 16:00:01,2787,3414,7298,3447,3459
2026-02-06 16:30:02,2787,3417,7298,3449,3458
2026-02-06 17:00:01,2761,3416,7298,3446,3457
2026-02-06 17:30:01,2776,3413,7296,3446,3457
2026-02-06 18:00:01,2762,3413,7295,3445,3457
2026-02-06 18:30:01,2751,3417,7294,3449,3458
2026-02-06 19:00:01,2753,3416,7297,3447,3462
2026-02-06 19:30:01,2753,3414,7296,3451,3459
2026-02-06 20:00:01,2749,3415,7295,3444,3457
2026-02-06 20:30:01,2778,3414,7294,3446,3457
2026-02-06 21:00:01,2763,3415,7294,3448,3459
2026-02-06 21:30:01,2759,3414,7294,3447,3457
2026-02-06 22:00:01,2752,3415,7295,3448,3457
2026-02-06 22:30:01,2752,3414,7297,3448,3458
2026-02-06 23:00:01,2777,3414,7296,3449,3460
2026-02-06 23:30:01,2753,3413,7292,3445,3457
2026-02-07 00:00:01,2753,3413,7299,3449,3455
2026-02-07 00:30:01,2765,3413,7294,3449,3457
2026-02-07 01:00:01,2770,3414,7296,3448,3457
2026-02-07 01:30:01,2759,3413,7295,3446,3459
2026-02-07 02:00:01,2776,3415,7295,3447,3460
2026-02-07 02:30:01,2774,3413,7296,3446,3458
2026-02-07 03:00:01,2762,3414,7295,3445,3460
2026-02-07 03:30:01,2764,3415,7299,3448,3459
2026-02-07 04:00:01,2758,3415,7296,3449,3460
2026-02-07 04:30:01,2743,3415,7292,3447,3458
2026-02-07 05:00:02,2750,3414,7297,3448,3457
2026-02-07 05:30:01,2760,3415,7294,3450,3456
2026-02-07 06:00:01,2740,3413,7294,3449,3456
2026-02-07 06:30:01,2751,3412,7296,3449,3460
2026-02-07 07:00:01,2765,3412,7295,3444,3459
2026-02-07 07:30:01,2766,3413,7296,3447,3457
2026-02-07 08:00:01,2755,3415,7298,3447,3455
2026-02-07 08:30:01,2755,3415,7296,3446,3451
2026-02-07 09:00:01,2765,3417,7295,3444,3456
2026-02-07 09:30:01,2775,3415,7295,3446,3457
2026-02-07 10:00:01,2752,3413,7296,3448,3458
2026-02-07 10:30:01,2763,3415,7295,3447,3456
2026-02-07 11:00:01,2771,3413,7295,3443,3458
2026-02-07 11:30:01,2753,3411,7295,3447,3457
2026-02-07 12:00:01,2755,3413,7296,3442,3459
2026-02-07 12:30:01,2764,3414,7295,3446,3457
2026-02-07 13:00:01,2776,3415,7296,3445,3458
2026-02-07 13:30:01,2778,3414,7294,3447,3459
2026-02-07 14:00:01,2757,3414,7295,3447,3459
2026-02-07 14:30:01,2763,3414,7293,3445,3457
2026-02-07 15:00:01,2771,3414,7287,3442,3455
2026-02-07 15:30:01,2756,3413,7287,3448,3457
2026-02-07 16:00:02,2763,3413,7287,3446,3459
2026-02-07 16:30:01,2770,3412,7286,3447,3458
2026-02-07 17:00:01,2758,3414,7296,3448,3458
2026-02-07 17:30:01,2761,3413,7293,3448,3457
2026-02-07 18:00:01,2752,3413,7294,3444,3457
2026-02-07 18:30:01,2764,3412,7293,3448,3459
2026-02-07 19:00:01,2745,3413,7295,3447,3457
2026-02-07 19:30:01,2762,3415,7295,3444,3456
2026-02-07 20:00:01,2746,3414,7292,3446,3460
2026-02-07 20:30:01,2753,3413,7293,3446,3457
2026-02-07 21:00:01,2754,3413,7294,3446,3456
2026-02-07 21:30:01,2754,3416,7296,3447,3460
2026-02-07 22:00:01,2767,3412,7297,3448,3458
2026-02-07 22:30:01,2759,3417,7294,3445,3457
2026-02-07 23:00:01,2770,3410,7295,3446,3457
2026-02-07 23:30:01,2763,3413,7294,3449,3448
2026-02-08 00:00:01,2778,3412,7295,3445,3458
2026-02-08 00:30:01,2755,3411,7293,3447,3458
2026-02-08 01:00:01,2746,3412,7295,3447,3457
2026-02-08 01:30:01,2749,3411,7294,3444,3454
2026-02-08 02:00:01,2749,3412,7296,3447,3456
2026-02-08 02:30:01,2745,3412,7294,3445,3458
2026-02-08 03:00:01,2750,3415,7294,3446,3458
2026-02-08 03:30:01,2755,3411,7294,3449,3459
2026-02-08 04:00:01,2754,3414,7296,3447,3456
2026-02-08 04:30:01,2754,3414,7293,3449,3457
2026-02-08 05:00:01,2738,3414,7292,3447,3456
2026-02-08 05:30:01,2737,3413,7292,3445,3458
2026-02-08 06:00:01,2743,3413,7292,3448,3457
2026-02-08 06:30:01,2750,3411,7292,3446,3457
2026-02-08 07:00:01,2754,3415,7294,3445,3458
2026-02-08 07:30:01,2751,3411,7294,3446,3457
2026-02-08 08:00:01,2739,3412,7292,3445,3453
2026-02-08 08:30:01,2757,3414,7295,3446,3458
2026-02-08 09:00:01,2769,3413,7294,3445,3456
2026-02-08 09:30:01,2754,3411,7293,3448,3455
2026-02-08 10:00:01,2759,3412,7291,3444,3457
2026-02-08 10:30:01,2737,3412,7295,3447,3457
2026-02-08 11:00:01,2737,3412,7294,3447,3455
2026-02-08 11:30:01,2739,3412,7293,3447,3456
2026-02-08 12:00:01,2739,3412,7292,3445,3456
