Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-02-05 13:20:28,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 13:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 14:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 14:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 15:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 15:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 16:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 16:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 17:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 17:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 18:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 18:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 19:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 19:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 20:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 20:30:01,700MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 21:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 21:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 22:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 22:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 23:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-05 23:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 00:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 00:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 01:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 01:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 02:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 02:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 03:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 03:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 04:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 04:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 05:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 05:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 06:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 06:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 07:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 07:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 08:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 08:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 09:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 09:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 10:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 10:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 11:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 11:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 12:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 12:30:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 13:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 13:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 14:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 14:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 15:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 15:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 16:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 16:30:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 17:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 17:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 18:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 18:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 19:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 19:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 20:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 20:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 21:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 21:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 22:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 22:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 23:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-06 23:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 00:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 00:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 01:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 01:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 02:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 02:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 03:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 03:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 04:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 04:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 05:00:02,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 05:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 06:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 06:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 07:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 07:30:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
2026-02-07 08:00:01,1500MHz,1500MHz,1800MHz,1500MHz,1500MHz
