Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-04-16 14:18:48,45.2,51.6,46.2,43.3,48.7
2026-04-16 14:30:01,44.8,49.1,45.2,44.8,49.1
2026-04-16 15:00:01,45.2,51.1,47.2,45.7,50.6
2026-04-16 15:30:01,47.2,51.1,48.2,46.2,52.1
2026-04-16 16:00:01,46.2,51.6,49.1,46.7,52.1
2026-04-16 16:30:01,47.2,51.6,49.1,46.7,52.1
2026-04-16 17:00:01,49.1,49.1,48.7,47.2,52.1
2026-04-16 17:30:01,49.6,48.2,48.2,47.2,49.6
2026-04-16 18:00:01,50.6,48.2,47.7,48.2,51.6
2026-04-16 18:30:01,50.1,50.1,47.2,47.2,54.0
2026-04-16 19:00:01,50.6,50.6,48.2,47.7,55.0
2026-04-16 19:30:01,50.1,49.6,48.7,47.7,54.0
2026-04-16 20:00:02,49.6,50.6,47.7,46.7,54.5
2026-04-16 20:30:01,49.6,50.1,47.7,46.2,54.5
2026-04-16 21:00:01,49.1,51.1,47.2,48.2,54.5
2026-04-16 21:30:01,49.6,51.1,48.2,48.2,54.0
2026-04-16 22:00:01,50.1,50.6,49.6,48.7,54.0
2026-04-16 22:30:01,50.6,51.6,48.2,47.2,54.5
2026-04-16 23:00:01,50.6,51.1,48.2,47.7,54.5
2026-04-16 23:30:01,49.1,50.1,47.2,47.2,54.5
2026-04-17 00:00:01,48.2,50.6,48.2,46.2,54.0
2026-04-17 00:30:01,49.1,50.6,47.7,48.2,54.5
2026-04-17 01:00:01,48.7,50.1,48.7,47.7,53.0
2026-04-17 01:30:01,48.2,50.1,46.7,46.2,54.0
2026-04-17 02:00:01,48.7,49.6,48.2,47.7,53.5
2026-04-17 02:30:01,49.6,50.1,46.7,46.7,54.5
2026-04-17 03:00:01,48.7,50.6,47.2,46.7,54.0
2026-04-17 03:30:01,49.1,51.6,47.7,47.2,54.0
2026-04-17 04:00:01,49.6,51.1,48.7,47.7,54.0
2026-04-17 04:30:01,49.6,51.1,48.2,47.7,55.0
2026-04-17 05:00:01,49.1,51.1,48.2,48.2,54.0
2026-04-17 05:30:01,49.6,51.1,48.7,47.2,54.0
2026-04-17 06:00:01,49.6,49.6,47.7,47.7,54.5
2026-04-17 06:30:01,49.6,50.1,48.2,48.2,54.0
2026-04-17 07:00:01,48.7,50.1,47.2,47.7,55.0
2026-04-17 07:30:02,48.7,49.6,47.2,47.7,53.5
2026-04-17 08:00:01,50.6,48.7,46.7,46.2,56.0
2026-04-17 08:30:01,49.1,48.7,47.2,47.2,55.5
2026-04-17 09:00:01,51.6,49.6,47.7,47.2,56.0
2026-04-17 09:30:01,49.6,49.1,46.7,47.2,56.0
2026-04-17 10:00:01,48.7,49.1,47.2,45.7,55.0
2026-04-17 10:30:01,49.6,48.7,46.7,46.2,54.5
2026-04-17 11:00:01,50.1,49.6,46.2,45.7,54.5
2026-04-17 11:30:01,50.1,47.7,46.2,45.2,55.0
2026-04-17 12:00:01,39.9,38.4,37.9,39.4,39.9
2026-04-17 12:30:01,38.9,39.4,37.4,37.0,43.3
2026-04-17 13:00:01,38.4,37.0,39.4,39.9,37.4
2026-04-17 13:30:01,38.4,36.5,38.4,38.4,37.0
2026-04-17 14:00:01,37.0,37.0,39.4,39.4,37.4
