Timestamp,pi-cluster_In_MB,pi-cluster_Out_MB,rpi1_In_MB,rpi1_Out_MB,rpi2_In_MB,rpi2_Out_MB,rpi3_In_MB,rpi3_Out_MB,rpi4_In_MB,rpi4_Out_MB
2026-02-05 13:20:28,30756.10,51487.12,5406.29,5085.14,35123.67,15495.39,5401.24,5077.19,5399.43,5078.47
2026-02-05 13:30:01,30995.02,51752.20,5408.23,5087.01,35383.89,15726.09,5403.21,5079.07,5401.37,5080.33
2026-02-05 14:00:01,33759.87,56368.03,6181.90,6139.14,39211.41,17437.95,5408.48,5084.17,5406.63,5085.43
2026-02-05 14:30:01,36090.40,58709.19,7345.97,7290.50,40376.62,18593.33,5413.12,5088.75,5411.25,5090.01
2026-02-05 15:00:01,47256.17,65938.91,11409.73,13324.95,43605.92,23815.46,5417.84,5093.41,5415.97,5094.70
2026-02-05 15:30:01,47930.04,66583.88,11964.89,13884.12,43611.32,23820.74,5422.49,5098.01,5420.57,5099.28
2026-02-05 16:00:01,47949.49,66603.79,11970.22,13889.33,43616.68,23825.98,5427.06,5102.52,5425.13,5103.79
2026-02-05 16:30:01,47969.38,66623.80,11975.64,13894.65,43622.10,23831.28,5431.74,5107.14,5429.77,5108.38
2026-02-05 17:00:01,47988.84,66643.38,11980.95,13899.86,43628.80,23836.56,5436.34,5111.68,5434.36,5112.93
2026-02-05 17:30:01,48008.88,66664.85,11986.38,13905.19,43634.33,23841.93,5441.03,5116.31,5439.01,5117.55
2026-02-05 18:00:01,48028.78,66685.19,11991.69,13910.41,43640.18,23847.37,5445.58,5120.80,5443.79,5122.28
2026-02-05 18:30:01,48048.67,66705.17,11997.12,13915.74,43645.63,23852.70,5450.25,5125.41,5448.44,5126.89
2026-02-05 19:00:01,48068.11,66724.71,12002.41,13920.93,43650.98,23857.94,5454.81,5129.91,5452.98,5131.40
2026-02-05 19:30:01,48088.19,66745.24,12008.37,13926.45,43656.43,23863.27,5459.46,5134.51,5457.64,5136.02
2026-02-05 20:00:01,48107.66,66764.81,12013.69,13931.66,43661.79,23868.51,5464.02,5139.01,5462.18,5140.53
2026-02-05 20:30:01,48127.61,66784.90,12019.12,13936.99,43667.28,23873.87,5468.72,5143.64,5466.86,5145.17
2026-02-05 21:00:01,48147.10,66804.50,12024.44,13942.20,43672.64,23879.11,5473.31,5148.17,5471.41,5149.69
2026-02-05 21:30:01,48167.02,66824.54,12029.86,13947.52,43678.11,23884.46,5477.98,5152.78,5476.07,5154.31
2026-02-05 22:00:01,48186.46,66844.08,12035.16,13952.74,43683.47,23889.71,5482.56,5157.30,5480.62,5158.82
2026-02-05 22:30:01,48206.35,66864.09,12040.59,13958.06,43688.89,23895.01,5487.25,5161.92,5485.26,5163.42
2026-02-05 23:00:01,48230.32,66891.50,12045.89,13963.27,43702.07,23904.71,5491.84,5166.45,5489.81,5167.94
2026-02-05 23:30:01,48250.84,66912.19,12051.32,13968.60,43707.75,23910.26,5496.74,5171.28,5494.69,5172.77
2026-02-06 00:00:01,48270.32,66931.73,12057.97,13973.87,43713.09,23915.49,5501.28,5175.77,5499.23,5177.29
2026-02-06 00:30:01,48290.29,66953.12,12063.39,13979.20,43718.56,23920.83,5505.97,5180.40,5503.90,5181.91
2026-02-06 01:00:01,48309.80,66972.78,12068.79,13984.45,43723.92,23926.07,5510.56,5184.92,5508.45,5186.43
2026-02-06 01:30:01,48329.71,66992.82,12074.18,13989.73,43729.38,23931.41,5515.24,5189.54,5513.12,5191.06
2026-02-06 02:00:01,48349.20,67012.41,12079.48,13994.95,43734.74,23936.65,5519.82,5194.06,5517.67,5195.57
2026-02-06 02:30:01,48369.11,67032.50,12084.91,14000.27,43740.25,23941.99,5524.51,5198.69,5522.34,5200.19
2026-02-06 03:00:01,48395.03,67058.63,12090.24,14005.48,43745.59,23947.23,5533.37,5207.40,5531.14,5208.87
2026-02-06 03:30:01,48417.08,67080.89,12095.69,14010.82,43751.05,23952.57,5538.07,5212.02,5536.01,5213.69
2026-02-06 04:00:01,48436.52,67100.41,12101.00,14016.04,43756.41,23957.81,5542.64,5216.55,5540.54,5218.20
2026-02-06 04:30:01,48456.45,67120.47,12106.43,14021.36,43761.85,23963.13,5547.33,5221.18,5545.18,5222.80
2026-02-06 05:00:01,48475.92,67140.06,12111.75,14026.57,43767.19,23968.35,5551.91,5225.71,5549.73,5227.30
2026-02-06 05:30:01,48495.79,67160.06,12117.17,14031.89,43772.64,23973.68,5556.58,5230.32,5554.39,5231.92
2026-02-06 06:00:01,48515.28,67179.64,12122.48,14037.10,43778.00,23978.93,5561.15,5234.83,5558.95,5236.45
2026-02-06 06:30:01,48535.58,67200.09,12127.93,14042.45,43783.66,23984.45,5566.03,5239.63,5563.61,5241.07
2026-02-06 07:00:01,48555.23,67219.83,12133.44,14047.84,43789.00,23989.69,5570.61,5244.15,5568.15,5245.58
2026-02-06 07:30:01,48575.12,67239.83,12138.83,14053.14,43794.45,23995.02,5575.29,5248.77,5572.81,5250.20
2026-02-06 08:00:01,48594.59,67259.34,12144.13,14058.35,43799.79,24000.26,5579.83,5253.28,5577.34,5254.71
2026-02-06 08:30:01,48619.00,67287.26,12157.43,14068.17,43805.26,24005.60,5584.51,5257.90,5582.01,5259.33
2026-02-06 09:00:01,48638.49,67306.87,12162.75,14073.39,43810.61,24010.83,5589.10,5262.43,5586.56,5263.84
2026-02-06 09:30:01,48658.42,67326.92,12168.17,14078.71,43816.08,24016.18,5593.80,5267.06,5591.22,5268.47
2026-02-06 10:00:01,48677.86,67346.49,12173.49,14083.92,43821.46,24021.43,5598.38,5271.58,5595.78,5272.98
2026-02-06 10:30:01,48697.75,67366.48,12178.89,14089.23,43826.89,24026.74,5603.07,5276.21,5600.41,5277.58
2026-02-06 11:00:01,48717.26,67386.10,12184.20,14094.45,43832.23,24031.97,5607.65,5280.73,5604.96,5282.09
2026-02-06 11:30:01,48737.13,67406.06,12189.62,14099.76,43837.67,24037.30,5612.34,5285.36,5609.62,5286.71
2026-02-06 12:00:01,48756.64,67425.63,12194.94,14104.99,43843.04,24042.55,5616.89,5289.85,5614.18,5291.23
2026-02-06 12:30:02,48776.56,67445.70,12200.37,14110.31,43848.52,24047.91,5621.56,5294.47,5618.82,5295.85
2026-02-06 13:00:01,48796.03,67465.27,12205.69,14115.53,43853.88,24053.15,5626.13,5298.98,5623.38,5300.37
2026-02-06 13:30:01,48816.13,67485.52,12211.10,14120.83,43859.35,24058.50,5630.82,5303.60,5628.23,5305.17
2026-02-06 14:00:01,48835.62,67505.13,12216.41,14126.04,43864.72,24063.75,5635.39,5308.11,5632.79,5309.69
2026-02-06 14:30:01,48855.54,67525.15,12221.83,14131.37,43870.18,24069.09,5640.07,5312.73,5637.45,5314.31
2026-02-06 15:00:01,48875.39,67545.19,12227.28,14136.68,43875.67,24074.42,5644.75,5317.35,5642.09,5318.91
2026-02-06 15:30:01,48895.31,67565.18,12232.70,14142.01,43881.10,24079.75,5649.43,5321.98,5646.75,5323.54
2026-02-06 16:00:01,48914.99,67584.99,12238.22,14147.42,43886.47,24084.99,5654.03,5326.52,5651.30,5328.05
2026-02-06 16:30:02,48934.88,67604.97,12243.63,14152.74,43891.92,24090.33,5658.71,5331.15,5655.92,5332.63
2026-02-06 17:00:01,48954.43,67624.65,12248.95,14157.95,43897.30,24095.58,5663.32,5335.70,5660.50,5337.18
2026-02-06 17:30:01,48974.41,67644.78,12254.37,14163.27,43902.79,24100.93,5668.05,5340.35,5665.20,5341.83
2026-02-06 18:00:01,48994.13,67664.62,12259.69,14168.50,43908.17,24106.19,5672.80,5345.04,5669.76,5346.35
2026-02-06 18:30:01,49014.06,67684.64,12265.10,14173.82,43913.63,24111.53,5677.50,5349.67,5674.42,5350.97
2026-02-06 19:00:01,49033.55,67704.26,12270.42,14179.04,43919.01,24116.79,5682.07,5354.19,5678.98,5355.49
2026-02-06 19:30:01,49053.42,67724.23,12275.80,14184.32,43924.45,24122.13,5686.75,5358.81,5683.64,5360.11
2026-02-06 20:00:01,49073.12,67744.03,12281.13,14189.55,43930.00,24127.55,5691.33,5363.33,5688.19,5364.63
2026-02-06 20:30:01,49093.09,67764.08,12286.55,14194.87,43935.48,24132.92,5696.02,5367.98,5692.85,5369.26
2026-02-06 21:00:01,49112.60,67783.70,12291.87,14200.10,43940.84,24138.16,5700.60,5372.51,5697.41,5373.77
2026-02-06 21:30:01,49140.84,67812.24,12297.30,14205.42,43950.56,24147.67,5705.27,5377.12,5706.33,5382.56
2026-02-06 22:00:01,49160.30,67831.81,12302.61,14210.64,43955.91,24152.89,5709.85,5381.64,5710.90,5387.08
2026-02-06 22:30:01,49180.17,67851.82,12308.03,14215.97,43961.35,24158.20,5714.54,5386.26,5715.53,5391.67
2026-02-06 23:00:01,49199.66,67871.40,12313.34,14221.19,43966.70,24163.43,5719.12,5390.78,5720.08,5396.18
2026-02-06 23:30:01,49219.78,67891.64,12318.76,14226.51,43972.16,24168.77,5723.82,5395.42,5724.97,5401.01
2026-02-07 00:00:01,49243.84,67915.90,12324.11,14231.76,43977.73,24174.22,5732.83,5404.28,5729.51,5405.53
2026-02-07 00:30:01,49263.94,67936.11,12329.72,14237.27,43983.19,24179.55,5737.50,5408.89,5734.18,5410.15
2026-02-07 01:00:01,49283.43,67955.72,12335.07,14242.51,43988.55,24184.80,5742.05,5413.40,5738.70,5414.64
2026-02-07 01:30:01,49303.49,67975.94,12340.47,14247.81,43994.03,24190.14,5746.93,5418.19,5743.37,5419.27
2026-02-07 02:00:01,49322.97,67995.52,12345.79,14253.02,43999.39,24195.38,5751.50,5422.70,5747.91,5423.78
2026-02-07 02:30:01,49347.05,68019.83,12355.47,14262.51,44004.87,24200.73,5756.18,5427.32,5752.58,5428.40
2026-02-07 03:00:01,49366.57,68039.44,12360.78,14267.73,44010.24,24205.99,5760.76,5431.84,5757.13,5432.92
2026-02-07 03:30:01,49386.48,68059.49,12366.23,14273.07,44015.71,24211.33,5765.44,5436.46,5761.79,5437.53
2026-02-07 04:00:01,49405.97,68079.05,12371.54,14278.30,44021.05,24216.56,5770.02,5440.98,5766.34,5442.05
2026-02-07 04:30:01,49425.82,68099.01,12376.96,14283.61,44026.49,24221.88,5774.71,5445.60,5770.97,5446.64
2026-02-07 05:00:02,49445.50,68118.82,12382.27,14288.82,44031.84,24227.11,5779.28,5450.12,5775.70,5451.34
2026-02-07 05:30:01,49465.37,68138.82,12387.70,14294.14,44037.29,24232.43,5783.97,5454.75,5780.37,5455.97
2026-02-07 06:00:01,49484.88,68158.45,12393.02,14299.36,44042.65,24237.66,5788.55,5459.26,5784.93,5460.49
2026-02-07 06:30:01,49504.82,68178.53,12398.47,14304.70,44048.12,24243.01,5793.23,5463.88,5789.59,5465.11
2026-02-07 07:00:01,49524.49,68198.34,12403.99,14310.11,44053.48,24248.24,5797.80,5468.39,5794.15,5469.63
2026-02-07 07:30:01,49544.37,68218.33,12409.37,14315.40,44058.96,24253.59,5802.48,5473.00,5798.81,5474.26
2026-02-07 08:00:01,49563.86,68237.91,12414.69,14320.62,44064.30,24258.83,5807.04,5477.50,5803.37,5478.78
2026-02-07 08:30:01,49583.76,68257.93,12420.10,14325.93,44069.76,24264.16,5811.73,5482.13,5808.03,5483.40
2026-02-07 09:00:01,49603.27,68277.51,12425.43,14331.17,44075.13,24269.42,5816.29,5486.64,5812.57,5487.92
2026-02-07 09:30:01,49623.35,68297.74,12430.85,14336.49,44080.78,24274.94,5820.99,5491.26,5817.22,5492.53
2026-02-07 10:00:01,49642.83,68317.34,12436.18,14341.71,44086.15,24280.19,5825.56,5495.77,5821.78,5497.05
2026-02-07 10:30:01,49662.69,68337.35,12441.60,14347.03,44091.62,24285.53,5830.26,5500.40,5826.42,5501.64
2026-02-07 11:00:01,49682.21,68356.98,12446.93,14352.25,44096.95,24290.74,5834.84,5504.91,5830.97,5506.16
2026-02-07 11:30:01,49702.08,68376.96,12452.35,14357.58,44102.40,24296.06,5839.53,5509.54,5835.64,5510.79
2026-02-07 12:00:01,49721.58,68396.54,12457.66,14362.79,44107.73,24301.30,5844.09,5514.04,5840.19,5515.31
2026-02-07 12:30:01,49741.50,68416.59,12463.08,14368.11,44113.20,24306.64,5848.77,5518.66,5844.85,5519.93
2026-02-07 13:00:01,49761.17,68436.34,12468.60,14373.52,44118.54,24311.87,5853.33,5523.18,5849.39,5524.45
2026-02-07 13:30:01,49781.03,68456.35,12473.99,14378.81,44124.01,24317.20,5858.02,5527.80,5854.05,5529.07
2026-02-07 14:00:01,49800.52,68475.97,12479.31,14384.02,44129.37,24322.44,5862.60,5532.31,5858.61,5533.59
2026-02-07 14:30:01,49820.41,68496.01,12484.73,14389.33,44134.84,24327.78,5867.29,5536.93,5863.28,5538.21
2026-02-07 15:00:01,49840.25,68515.97,12490.14,14394.64,44140.29,24333.10,5871.96,5541.54,5867.91,5542.80
2026-02-07 15:30:01,49860.17,68535.99,12495.54,14399.95,44145.76,24338.45,5876.66,5546.17,5872.57,5547.43
2026-02-07 16:00:02,49879.68,68555.59,12500.85,14405.17,44151.11,24343.69,5881.24,5550.71,5877.13,5551.95
2026-02-07 16:30:01,49899.73,68575.76,12506.27,14410.49,44156.59,24349.04,5886.12,5555.52,5881.76,5556.54
2026-02-07 17:00:01,49919.25,68595.39,12511.59,14415.70,44161.95,24354.27,5890.73,5560.06,5886.34,5561.08
2026-02-07 17:30:01,49939.42,68615.70,12517.01,14421.02,44167.42,24359.62,5895.43,5564.71,5891.21,5565.91
2026-02-07 18:00:01,49958.90,68635.30,12522.32,14426.23,44172.77,24364.85,5899.99,5569.22,5895.76,5570.43
2026-02-07 18:30:01,49978.79,68655.33,12527.76,14431.56,44178.24,24370.18,5904.67,5573.83,5900.43,5575.04
2026-02-07 19:00:01,50002.45,68679.21,12533.08,14436.77,44183.61,24375.43,5909.25,5578.34,5909.24,5583.73
2026-02-07 19:30:01,50022.32,68699.20,12538.48,14442.07,44189.09,24380.77,5913.94,5582.96,5913.89,5588.35
2026-02-07 20:00:01,50041.82,68718.79,12543.79,14447.29,44194.43,24386.00,5918.51,5587.48,5918.44,5592.86
2026-02-07 20:30:01,50066.12,68743.31,12549.20,14452.60,44204.38,24395.73,5923.23,5592.13,5923.14,5597.52
2026-02-07 21:00:01,50085.69,68763.00,12554.52,14457.83,44209.75,24400.98,5927.81,5596.66,5927.69,5602.04
2026-02-07 21:30:01,50105.58,68782.99,12559.94,14463.14,44215.21,24406.31,5932.48,5601.27,5932.34,5606.66
2026-02-07 22:00:01,50125.10,68802.62,12565.26,14468.36,44220.58,24411.56,5937.06,5605.79,5936.90,5611.18
2026-02-07 22:30:01,50144.97,68822.65,12570.70,14473.68,44226.05,24416.89,5941.75,5610.42,5941.54,5615.78
2026-02-07 23:00:01,50164.40,68842.20,12576.00,14478.88,44231.36,24422.09,5946.33,5614.94,5946.10,5620.30
2026-02-07 23:30:01,50184.91,68862.87,12581.44,14484.21,44237.03,24427.61,5951.24,5619.77,5950.99,5625.13
2026-02-08 00:00:01,50204.62,68882.65,12586.77,14489.45,44242.58,24433.03,5955.82,5624.30,5955.56,5629.67
2026-02-08 00:30:01,50224.55,68902.73,12592.18,14494.77,44248.03,24438.37,5960.51,5628.92,5960.22,5634.29
2026-02-08 01:00:01,50244.06,68922.38,12597.53,14500.01,44253.39,24443.62,5965.07,5633.42,5964.77,5638.80
2026-02-08 01:30:01,50264.11,68942.52,12602.93,14505.30,44258.85,24448.95,5969.75,5638.03,5969.61,5643.61
2026-02-08 02:00:01,50283.61,68962.15,12608.25,14510.52,44264.21,24454.19,5974.33,5642.55,5974.17,5648.13
2026-02-08 02:30:01,50303.51,68982.20,12613.68,14515.84,44269.68,24459.53,5979.02,5647.16,5978.83,5652.75
2026-02-08 03:00:01,50323.00,69001.82,12619.00,14521.05,44275.03,24464.76,5983.61,5651.70,5983.39,5657.27
2026-02-08 03:30:01,50347.17,69026.22,12628.76,14530.61,44280.50,24470.11,5988.31,5656.33,5988.05,5661.89
2026-02-08 04:00:01,50366.81,69045.95,12634.22,14535.99,44285.86,24475.35,5992.89,5660.86,5992.60,5666.40
2026-02-08 04:30:01,50386.70,69065.96,12639.65,14541.31,44291.33,24480.70,5997.58,5665.48,5997.25,5671.01
2026-02-08 05:00:01,50410.34,69089.79,12644.97,14546.53,44296.65,24485.91,6006.41,5674.16,6001.78,5675.50
2026-02-08 05:30:01,50430.19,69109.74,12650.39,14551.84,44302.11,24491.24,6011.07,5678.78,6006.44,5680.12
2026-02-08 06:00:01,50449.68,69129.35,12655.71,14557.06,44307.47,24496.48,6015.62,5683.27,6010.98,5684.64
2026-02-08 06:30:01,50469.64,69149.45,12661.19,14562.43,44312.95,24501.83,6020.29,5687.88,6015.64,5689.26
2026-02-08 07:00:01,50489.30,69169.22,12666.70,14567.83,44318.31,24507.06,6024.85,5692.38,6020.19,5693.77
2026-02-08 07:30:01,50509.17,69189.24,12672.10,14573.12,44323.79,24512.41,6029.53,5696.99,6024.86,5698.39
2026-02-08 08:00:01,50528.65,69208.85,12677.40,14578.33,44329.20,24517.66,6034.09,5701.50,6029.41,5702.91
2026-02-08 08:30:01,50548.56,69228.86,12682.82,14583.64,44334.66,24523.02,6038.77,5706.11,6034.08,5707.54
2026-02-08 09:00:01,50568.08,69248.49,12688.14,14588.87,44340.04,24528.28,6043.33,5710.63,6038.62,5712.06
2026-02-08 09:30:01,50588.18,69268.70,12693.56,14594.18,44345.53,24533.65,6048.20,5715.42,6043.28,5716.68
2026-02-08 10:00:01,50607.72,69288.33,12698.88,14599.40,44350.91,24538.91,6052.75,5719.93,6047.82,5721.20
2026-02-08 10:30:01,50627.62,69308.35,12704.31,14604.73,44356.39,24544.27,6057.43,5724.55,6052.48,5725.84
2026-02-08 11:00:01,50647.11,69327.96,12709.64,14609.96,44361.75,24549.50,6062.01,5729.06,6057.02,5730.33
2026-02-08 11:30:01,50667.00,69347.99,12715.07,14615.28,44367.22,24554.84,6066.70,5733.69,6061.69,5734.95
2026-02-08 12:00:01,50686.69,69367.78,12720.39,14620.51,44372.57,24560.07,6071.44,5738.37,6066.24,5739.47
2026-02-08 12:30:01,50706.60,69387.83,12725.81,14625.83,44378.07,24565.44,6076.12,5742.97,6070.90,5744.09
2026-02-08 13:00:01,50726.09,69407.42,12731.14,14631.05,44383.42,24570.68,6080.68,5747.48,6075.45,5748.61
2026-02-08 13:30:02,50745.95,69427.41,12736.53,14636.34,44388.91,24576.04,6085.36,5752.09,6080.11,5753.23
2026-02-08 14:00:01,50765.45,69446.99,12741.85,14641.56,44394.27,24581.29,6089.90,5756.59,6084.64,5757.73
2026-02-08 14:30:01,50785.53,69467.22,12747.47,14647.07,44399.76,24586.65,6094.57,5761.19,6089.30,5762.35
2026-02-08 15:00:01,50805.38,69487.20,12752.88,14652.37,44405.23,24591.99,6099.24,5765.79,6093.94,5766.94
2026-02-08 15:30:01,50825.30,69507.27,12758.31,14657.68,44410.72,24597.36,6103.93,5770.40,6098.61,5771.57
2026-02-08 16:00:01,50844.81,69526.91,12763.62,14662.89,44416.10,24602.61,6108.51,5774.93,6103.16,5776.08
2026-02-08 16:30:01,50864.72,69546.94,12769.04,14668.22,44421.59,24607.98,6113.20,5779.55,6107.83,5780.71
2026-02-08 17:00:01,50884.21,69566.57,12774.36,14673.43,44426.96,24613.25,6117.88,5784.12,6112.38,5785.22
2026-02-08 17:30:01,50904.21,69586.71,12779.77,14678.74,44432.45,24618.61,6122.56,5788.73,6117.04,5789.85
2026-02-08 18:00:01,50923.87,69606.47,12785.08,14683.96,44437.86,24623.89,6127.18,5793.29,6121.67,5794.43
2026-02-08 18:30:01,50943.97,69626.72,12790.51,14689.27,44443.54,24629.43,6131.86,5797.90,6126.32,5799.06
2026-02-08 19:00:01,50963.47,69646.35,12795.82,14694.48,44448.92,24634.69,6136.44,5802.42,6130.87,5803.58
2026-02-08 19:30:01,50983.37,69666.41,12801.25,14699.80,44454.42,24640.05,6141.13,5807.03,6135.54,5808.20
2026-02-08 20:00:01,51002.87,69686.03,12806.54,14704.98,44459.81,24645.31,6145.70,5811.54,6140.09,5812.72
2026-02-08 20:30:01,51022.83,69706.12,12811.94,14710.29,44465.30,24650.68,6150.41,5816.18,6144.78,5817.36
