Timestamp,pi-cluster,rpi1,rpi2,rpi3,rpi4
2026-02-05 13:20:28,1017,348,488,347,336
2026-02-05 13:30:01,1013,351,527,350,337
2026-02-05 14:00:01,1039,368,4172,347,338
2026-02-05 14:30:01,1026,379,512,346,338
2026-02-05 15:00:01,1015,391,527,346,337
2026-02-05 15:30:01,1011,379,528,343,335
2026-02-05 16:00:01,1014,380,528,346,334
2026-02-05 16:30:01,1006,381,527,346,337
2026-02-05 17:00:01,1019,380,530,344,336
2026-02-05 17:30:01,1024,384,528,345,338
2026-02-05 18:00:01,1029,381,532,348,336
2026-02-05 18:30:01,1026,380,530,348,334
2026-02-05 19:00:01,1031,382,531,346,334
2026-02-05 19:30:01,1022,381,530,345,334
2026-02-05 20:00:01,1022,377,529,347,336
2026-02-05 20:30:01,1031,377,530,350,336
2026-02-05 21:00:01,1030,379,529,348,338
2026-02-05 21:30:01,1020,381,529,346,338
2026-02-05 22:00:01,1018,381,530,347,338
2026-02-05 22:30:01,1034,379,530,349,336
2026-02-05 23:00:01,1032,382,530,348,337
2026-02-05 23:30:01,1014,378,529,348,337
2026-02-06 00:00:01,1019,383,528,347,338
2026-02-06 00:30:01,1019,383,530,348,336
2026-02-06 01:00:01,1037,382,529,346,336
2026-02-06 01:30:01,1028,379,529,347,336
2026-02-06 02:00:01,1022,380,531,351,333
2026-02-06 02:30:01,1034,379,528,347,338
2026-02-06 03:00:01,1023,380,529,348,337
2026-02-06 03:30:01,1074,382,529,345,336
2026-02-06 04:00:01,1064,380,529,349,335
2026-02-06 04:30:01,1047,375,530,347,335
2026-02-06 05:00:01,1054,381,530,348,339
2026-02-06 05:30:01,1067,382,531,350,336
2026-02-06 06:00:01,1052,381,528,347,335
2026-02-06 06:30:01,1059,383,529,350,337
2026-02-06 07:00:01,1050,379,531,349,340
2026-02-06 07:30:01,1061,379,531,348,337
2026-02-06 08:00:01,1056,380,537,349,340
2026-02-06 08:30:01,1037,379,525,348,337
2026-02-06 09:00:01,1025,381,525,349,337
2026-02-06 09:30:01,1034,383,524,346,337
2026-02-06 10:00:01,1038,380,526,346,338
2026-02-06 10:30:01,1032,380,523,347,338
2026-02-06 11:00:01,1021,379,525,347,335
2026-02-06 11:30:01,1022,381,523,351,339
2026-02-06 12:00:01,1032,380,525,348,339
2026-02-06 12:30:02,1029,381,525,349,339
2026-02-06 13:00:01,1036,382,525,349,336
2026-02-06 13:30:01,1026,383,525,346,338
2026-02-06 14:00:01,1025,380,524,349,338
2026-02-06 14:30:01,1008,381,524,347,337
2026-02-06 15:00:01,1017,381,524,346,337
2026-02-06 15:30:01,1022,385,524,348,337
2026-02-06 16:00:01,1009,382,522,348,337
2026-02-06 16:30:02,1009,379,522,347,338
